id,state,county,count,topTen,topOnePercent,topTenPercent
48201,tx,Harris County,121,true,true,true,
48113,tx,Dallas County,53,true,true,true,
40109,ok,Oklahoma County,40,true,true,true,
48439,tx,Tarrant County,37,true,true,true,
48029,tx,Bexar County,37,true,true,true,
40143,ok,Tulsa County,17,true,true,true,
48339,tx,Montgomery County,16,true,true,true,
48245,tx,Jefferson County,15,true,true,true,
29189,mo,St. Louis County,14,true,true,true,
29510,mo,St. Louis city,13,true,true,true,
48041,tx,Brazos County,12,false,true,true,
48355,tx,Nueces County,12,false,true,true,
4019,az,Pima County,12,false,true,true,
12086,fl,Miami-Dade County,12,false,true,true,
48375,tx,Potter County,11,false,true,true,
4013,az,Maricopa County,11,false,true,true,
1097,al,Mobile County,10,false,true,true,
48423,tx,Smith County,10,false,true,true,
39061,oh,Hamilton County,10,false,true,true,
48303,tx,Lubbock County,10,false,true,true,
1073,al,Jefferson County,10,false,true,true,
51153,va,Prince William County,9,false,true,true,
10003,de,New Castle County,9,false,true,true,
12095,fl,Orange County,8,false,true,true,
39035,oh,Cuyahoga County,8,false,true,true,
32003,nv,Clark County,8,false,true,true,
51810,va,Virginia Beach city,8,false,true,true,
45019,sc,Charleston County,8,false,true,true,
48453,tx,Travis County,8,false,true,true,
51041,va,Chesterfield County,8,false,true,true,
48309,tx,McLennan County,8,false,true,true,
29095,mo,Jackson County,7,false,true,true,
12031,fl,Duval County,7,false,false,true,
39153,oh,Summit County,6,false,false,true,
40031,ok,Comanche County,6,false,false,true,
12103,fl,Pinellas County,6,false,false,true,
48061,tx,Cameron County,6,false,false,true,
48167,tx,Galveston County,6,false,false,true,
48349,tx,Navarro County,6,false,false,true,
10001,de,Kent County,6,false,false,true,
51059,va,Fairfax County,5,false,false,true,
51143,va,Pittsylvania County,5,false,false,true,
17031,il,Cook County,5,false,false,true,
48183,tx,Gregg County,5,false,false,true,
48121,tx,Denton County,5,false,false,true,
48441,tx,Taylor County,5,false,false,true,
48085,tx,Collin County,5,false,false,true,
48037,tx,Bowie County,5,false,false,true,
51650,va,Hampton city,5,false,false,true,
51740,va,Portsmouth city,5,false,false,true,
13215,ga,Muscogee County,5,false,false,true,
18097,in,Marion County,5,false,false,true,
37119,nc,Mecklenburg County,5,false,false,true,
13021,ga,Bibb County,5,false,false,true,
48141,tx,El Paso County,5,false,false,true,
12057,fl,Hillsborough County,4,false,false,true,
45079,sc,Richland County,4,false,false,true,
45063,sc,Lexington County,4,false,false,true,
32031,nv,Washoe County,4,false,false,true,
1089,al,Madison County,4,false,false,true,
51159,va,Richmond County,4,false,false,true,
29047,mo,Clay County,4,false,false,true,
40027,ok,Cleveland County,4,false,false,true,
29027,mo,Callaway County,4,false,false,true,
12127,fl,Volusia County,4,false,false,true,
13121,ga,Fulton County,4,false,false,true,
1015,al,Calhoun County,4,false,false,true,
24005,md,Baltimore County,4,false,false,true,
48157,tx,Fort Bend County,4,false,false,true,
22071,la,Orleans Parish,4,false,false,true,
40101,ok,Muskogee County,4,false,false,true,
22055,la,Lafayette Parish,4,false,false,true,
39095,oh,Lucas County,4,false,false,true,
22051,la,Jefferson Parish,4,false,false,true,
37067,nc,Forsyth County,4,false,false,true,
45003,sc,Aiken County,4,false,false,true,
48001,tx,Anderson County,4,false,false,true,
5119,ar,Pulaski County,4,false,false,true,
48039,tx,Brazoria County,4,false,false,true,
13051,ga,Chatham County,4,false,false,true,
29099,mo,Jefferson County,4,false,false,true,
13067,ga,Cobb County,4,false,false,true,
5131,ar,Sebastian County,3,false,false,true,
48451,tx,Tom Green County,3,false,false,true,
37171,nc,Surry County,3,false,false,true,
37157,nc,Rockingham County,3,false,false,true,
28017,ms,Chickasaw County,3,false,false,true,
28059,ms,Jackson County,3,false,false,true,
51700,va,Newport News city,3,false,false,true,
48073,tx,Cherokee County,3,false,false,true,
51590,va,Danville city,3,false,false,true,
12069,fl,Lake County,3,false,false,true,
37183,nc,Wake County,3,false,false,true,
13255,ga,Spalding County,3,false,false,true,
48027,tx,Bell County,3,false,false,true,
48381,tx,Randall County,3,false,false,true,
12023,fl,Columbia County,3,false,false,true,
