state,date,number on death row
Alabama,2013,198
Arizona,2014,124
Arkansas,2005,38
California,2006,742
Colorado,1997,4
Delaware,2012,18
Florida,2014,410
Georgia,2014,94
Idaho,2012,12
Indiana,2009,14
Kansas,1965,10
Kentucky,2008,34
Louisiana,2010,88
Mississippi,2012,48
Missouri,2014,49
Montana,2006,2
Nebraska,1997,11
Nevada,2006,80
New Hampshire,1939,1
North Carolina,2006,159
Ohio,2014,144
Oklahoma,2014,51
Oregon,1997,35
Pennsylvania,1999,193
South Carolina,2011,49
South Dakota,2007,3
Tennessee,2009,76
Texas,2014,278
Utah,2010,9
Virginia,2013,9
Washington,2010,9
Wyoming,1992,11
US Government,2003,59
US Military,1961,6
